datetime;nom;count;kilometre parcourus;temps en minutes;-100km;100-150km;150-200km;200-250km;250-300km;+ de 300km
;x32oE78F97;9;54;403;1;0;0;0;0;0
;x6pqTg88l7;49;125;644;0;1;0;0;0;0
;x12vgD8JS6;24;245;684;0;0;0;1;0;0
;xW336S9f74;21;89;715;1;0;0;0;0;0
11/09/2023;xl96smp7E96;27;137;491;0;1;0;0;0;0
;x85pMRtg89;21;46;499;1;0;0;0;0;0
;xP662IY9mp;20;31;646;1;0;0;0;0;0
;x32oE78F97;20;191;710;0;0;1;0;0;0
;x6pqTg88l7;47;156;691;0;0;1;0;0;0
;x12vgD8JS6;12;148;697;0;1;0;0;0;0
;xW336S9f74;18;139;858;0;1;0;0;0;0
12/09/2023;xl96smp7E96;32;127;706;0;1;0;0;0;0
;x85pMRtg89;13;31;486;1;0;0;0;0;0
;xP662IY9mp;22;218;816;0;0;0;1;0;0
;x32oE78F97;8;64;457;1;0;0;0;0;0
;x6pqTg88l7;64;194;673;0;0;1;0;0;0
;x12vgD8JS6;27;189;671;0;0;1;0;0;0
;xW336S9f74;12;85;474;1;0;0;0;0;0
13/09/2023;xl96smp7E96;44;158;754;0;0;1;0;0;0
;x85pMRtg89;8;21;238;1;0;0;0;0;0
;xP662IY9mp;17;185;1269;0;0;1;0;0;0
;x32oE78F97;5;52;179;1;0;0;0;0;0
;x6pqTg88l7;45;103;1145;0;1;0;0;0;0
;x12vgD8JS6;25;108;587;0;1;0;0;0;0
;xW336S9f74;18;91;622;1;0;0;0;0;0
14/09/2023;xl96smp7E96;52;199;663;0;0;1;0;0;0
;x85pMRtg89;15;32;455;1;0;0;0;0;0
;x32oE78F97;7;48;227;1;0;0;0;0;0
;x6pqTg88l7;35;141;427;0;1;0;0;0;0
;x12vgD8JS6;17;146;654;0;1;0;0;0;0
;xW336S9f74;17;93;865;1;0;0;0;0;0
15/09/2023;xl96smp7E96;39;179;788;0;0;1;0;0;0
;x85pMRtg89;46;244;643;0;0;0;1;0;0
;x32oE78F97;12;49;502;1;0;0;0;0;0
;x6pqTg88l7;38;146;394;0;1;0;0;0;0
;x12vgD8JS6;21;128;722;0;1;0;0;0;0
;xW336S9f74;22;147;631;0;1;0;0;0;0
16/09/2023;xW336S9f74;9;11;278;1;0;0;0;0;0
18/09/2023;xg69dpm56d;24;21;545;1;0;0;0;0;0
;xl96smp7E96;37;162;678;0;0;1;0;0;0
;x85pMRtg89;15;43;371;1;0;0;0;0;0
;x32oE78F97;17;139;4166;0;1;0;0;0;0
;x6pqTg88l7;42;116;717;0;1;0;0;0;0
;x12vgD8JS6;11;23;503;1;0;0;0;0;0
;xW336S9f74;22;119;746;0;1;0;0;0;0
19/09/2023;xg69dpm56d;28;163;694;0;0;1;0;0;0
;xl96smp7E96;33;151;591;0;0;1;0;0;0
;x85pMRtg89;13;29;550;1;0;0;0;0;0
;xP662IY9mp;3;54;186;1;0;0;0;0;0
;x32oE78F97;9;58;221;1;0;0;0;0;0
;x6pqTg88l7;40;113;621;0;1;0;0;0;0
;x12vgD8JS6;32;240;766;0;0;0;1;0;0
;xW336S9f74;19;100;576;0;1;0;0;0;0
20/09/2023;xg69dpm56d;19;23;694;1;0;0;0;0;0
;xl96smp7E96;38;160;644;0;0;1;0;0;0
;x85pMRtg89;5;20;191;1;0;0;0;0;0
;x32oE78F97;24;241;549;0;0;0;1;0;0
;x6pqTg88l7;37;100;564;0;1;0;0;0;0
;x12vgD8JS6;18;192;701;0;0;1;0;0;0
;xW336S9f74;14;112;678;0;1;0;0;0;0
21/09/2023;xg69dpm56d;29;30;701;1;0;0;0;0;0
;xl96smp7E96;65;268;476;0;0;0;0;1;0
;x85pMRtg89;12;27;264;1;0;0;0;0;0
;x32oE78F97;12;141;555;0;1;0;0;0;0
;x6pqTg88l7;25;143;793;0;1;0;0;0;0
;x12vgD8JS6;27;166;720;0;0;1;0;0;0
;xW336S9f74;25;107;650;0;1;0;0;0;0
22/09/2023;xg69dpm56d;22;151;416;0;0;1;0;0;0
;xl96smp7E96;30;223;808;0;0;0;1;0;0
;x85pMRtg89;48;253;575;0;0;0;0;1;0
;x32oE78F97;5;50;241;1;0;0;0;0;0
;x6pqTg88l7;21;132;720;0;1;0;0;0;0
;x12vgD8JS6;32;180;578;0;0;1;0;0;0
;xW336S9f74;10;90;419;1;0;0;0;0;0
23/09/2023;xW336S9f74;3;5;815;1;0;0;0;0;0
25/09/2023;xl96smp7E96;28;127;678;0;1;0;0;0;0
;x6pqTg88l7;17;99;746;1;0;0;0;0;0
;x12vgD8JS6;26;150;463;0;0;1;0;0;0
;xW336S9f74;14;97;982;1;0;0;0;0;0
26/09/2023;xg69dpm56d;6;49;93;1;0;0;0;0;0
;xl96smp7E96;48;166;875;0;0;1;0;0;0
;x85pMRtg89;13;23;517;1;0;0;0;0;0
;x32oE78F97;16;139;1366;0;1;0;0;0;0
;x6pqTg88l7;5;45;403;1;0;0;0;0;0
;x12vgD8JS6;17;86;571;1;0;0;0;0;0
;xW336S9f74;7;133;727;0;1;0;0;0;0
27/09/2023;xl96smp7E96;33;155;629;0;0;1;0;0;0
;x85pMRtg89;35;128;641;0;1;0;0;0;0
;x32oE78F97;7;47;635;1;0;0;0;0;0
;x12vgD8JS6;31;240;738;0;0;0;1;0;0
;xW336S9f74;15;82;664;1;0;0;0;0;0
28/09/2023;xl96smp7E96;37;139;988;0;1;0;0;0;0
;x85pMRtg89;20;37;446;1;0;0;0;0;0
;x32oE78F97;4;44;462;1;0;0;0;0;0
;x12vgD8JS6;15;268;583;0;0;0;0;1;0
;xW336S9f74;11;76;563;1;0;0;0;0;0
29/09/2023;xl96smp7E96;35;146;679;0;1;0;0;0;0
;x32oE78F97;9;64;422;1;0;0;0;0;0
;x12vgD8JS6;13;162;607;0;0;1;0;0;0
;xW336S9f74;13;76;526;1;0;0;0;0;0
